Merk,Uitvoering,Type,Datum eerste toelating
OPEL,A1EA5AA1,Benzine,20200204.0
VOLKSWAGEN,N3000QPE1MP002A55,Benzine,20250516.0
OPEL,ZKWZ-Y0R000,Benzine,20250513.0
AUDI,HE1HE1G1Z02RT011A200GAAEM0FSC,Benzine,20250515.0
BMW,0AB50000,Benzine,20250514.0
MERCEDES-BENZ,ZZAAA52A,Benzine,20250516.0
BMW,0AW50000,Benzine,20211215.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20250514.0
MERCEDES-BENZ,ZZAAA51A,Benzine,20250515.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0M,Benzine,20210929.0
MERCEDES-BENZ,ZZAAA70A,Benzine,20250516.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,Benzine,20250519.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200305.0
BMW,0AW5000S,Benzine,20210930.0
OPEL,ZKXZ-X0A000,Benzine,20200305.0
BMW,0AA5A000,Benzine,20250513.0
BMW I,0AW4000S,Elektrisch,20211119.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,Benzine,20211117.0
VOLKSWAGEN,D0O1ASA,Diesel,20211026.0
BMW,0AL5A000,Benzine,20250905.0
BMW,0AB50800,Benzine,20250513.0
BMW,0AL5A00B,Benzine,20250516.0
VOLKSWAGEN,D0O51AA,Diesel,20211221.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0M,Benzine,20211119.0
BMW,0AB50800,Benzine,20250516.0
VOLKSWAGEN,OPE1MH00201ASA,Benzine,20230719.0
BMW,0AB50800,Benzine,20250515.0
BMW,0AH5A800,Benzine,20250514.0
BMW,0AH5A00B,Benzine,20250516.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200331.0
OPEL,ZKZX-B0E000,Benzine,20250515.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0O,Benzine,20211221.0
OPEL,ZKWZ-Y0R000,Benzine,20250514.0
BMW,0AB5A000,Benzine,20250516.0
OPEL,ZYAZ-E0D000,Benzine,20250515.0
VOLKSWAGEN,DPE1MH0020O1ASA,Diesel,20211026.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1M,Benzine,20211125.0
OPEL,ZKWZ-Y0R000,Benzine,20250515.0
VOLKSWAGEN,RPE1MH002P0A,Benzine,20250516.0
PORSCHE,2500000,Benzine,20250516.0
VOLKSWAGEN,DPE1MP001SA,Diesel,20250514.0
VOLKSWAGEN,APE1MP001NA,Benzine,20250515.0
MERCEDES-BENZ,ZZAA051A,Benzine,20250516.0
VOLKSWAGEN,RPE1MH002P0A,Benzine,20250515.0
AUDI,QE1QE1G1Z01RT31B200GAAEM1,Benzine,20211228.0
VOLKSWAGEN,PPE1MP001NA,Benzine,20250515.0
BMW,0AL50800,Benzine,20250516.0
VOLKSWAGEN,OPE1MH0020M1ASA,Benzine,20211023.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,Benzine,20211203.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20210528.0
BMW I,0AW4000S,Elektrisch,20211228.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20211230.0
AUDI,QE2QE2G1X01RT011B210GAAEM0FS,Benzine,20211223.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200512.0
OPEL,ZKXZ-X0C000,Benzine,20211231.0
BMW,0AW5000S,Benzine,20220115.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,Benzine,20211006.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0M,Benzine,20211221.0
BMW,0AW5000S,Benzine,20211011.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1M,Benzine,20211230.0
VOLKSWAGEN,C0O51AA,Benzine,20211230.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,Benzine,20211126.0
BMW,0AW5000S,Benzine,20211111.0
AUDI,HE1HE1G1Z01RT021A210GAAEM1M,Benzine,20211230.0
BMW,0AL5A000,Benzine,20250524.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N,Benzine,20180223.0
AUDI,HE1HE1G1Z01RT021A200GAAEM1M,Benzine,20211222.0
BMW,0AW50000,Benzine,20211115.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20250519.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20250521.0
VOLKSWAGEN,APE1MP001NA,Benzine,20250905.0
MERCEDES-BENZ,ZZAA051A,Benzine,20250515.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0M,Benzine,20211119.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20250905.0
VOLKSWAGEN,C0O51AA,Benzine,20200909.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1M,Benzine,20211223.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,Benzine,20200514.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0M,Benzine,20211216.0
PORSCHE,1151000,Benzine,20220908.0
VOLKSWAGEN,D0M51AA,Diesel,20211119.0
BMW,0AW5000S,Benzine,20211227.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1M,Benzine,20211231.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0O,Benzine,20211028.0
BMW,0AW50000,Benzine,20211214.0
VOLKSWAGEN,C0O51AA,Benzine,20211228.0
AUDI,QE1QE1G1Z01RT11B200GAAEM1,Benzine,20211228.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1M,Benzine,20211228.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0M,Benzine,20210930.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1O,Benzine,20211228.0
VOLKSWAGEN,B0M1ANA,Benzine,20211230.0
VOLKSWAGEN,OPE1MH0020O1ALA,Benzine,20211217.0
BMW,0AB50800,Benzine,20250905.0
BMW,0AC50800,Benzine,20250516.0
BMW,0AB50000,Benzine,20250108.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,Benzine,20200226.0
BMW,0AA5A000,Benzine,20250516.0
BMW,0AC50000,Benzine,20240325.0
MERCEDES-BENZ,ZZAA050A,Benzine,20211119.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1O,Benzine,20211213.0
VOLKSWAGEN,DPE1MH002P0A,Diesel,20250516.0
VOLKSWAGEN,QPE1MH002P0A,Benzine,20250904.0
VOLKSWAGEN,DPE1MH0020O1ASA,Diesel,20211007.0
VOLKSWAGEN,OPE1MH0020O1ALA,Benzine,20211224.0
AUDI,HE1HE1G1Z02RT051B200GAAEM0FSC,Benzine,20250516.0
MERCEDES-BENZ,ZZAA050A,Benzine,20201207.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0O,Benzine,20211105.0
OPEL,ZKWZ-G0V001,Benzine,20250515.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,Benzine,20211018.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1M,Benzine,20211223.0
MERCEDES-BENZ,2EDE0XX7XXXX,Benzine,20220824.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,Benzine,20211013.0
BMW,0AW5000S,Benzine,20230323.0
BMW,0AC50000,Benzine,20230322.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1,Benzine,20230414.0
AUDI,HE1HE1G1Z01RT021A200GAAEM1M,Benzine,20211027.0
VOLKSWAGEN,OPE1MH00201ASA,Benzine,20230522.0
MERCEDES-BENZ,2EDE0XX8XXXX,Benzine,20231011.0
BMW I,0AW40000,Elektrisch,20211012.0
VOLKSWAGEN,C0O51AA,Benzine,20211112.0
VOLKSWAGEN,OPE1MH0020O1ALA,Benzine,20211228.0
BMW,0AW5000S,Benzine,20211108.0
VOLKSWAGEN,D0M41AA,Diesel,20210902.0
OPEL,ZKXZ-40B000,Benzine,20210924.0
MERCEDES-BENZ,,Benzine,20221118.0
VOLKSWAGEN,D0M51AA,Diesel,20211111.0
MERCEDES-BENZ,ZZAM070C,Benzine,20250516.0
OPEL,ZYAZ-E0D000,Benzine,20250519.0
MERCEDES-BENZ,ZZAA050A,Benzine,20250516.0
AUDI,HE1HE1G1Z01RT021A190GAAEM1O,Benzine,20211230.0
OPEL,ZKWZ-G0V001,Benzine,20250328.0
VOLKSWAGEN,PPE1MP001NA,Benzine,20250516.0
VOLKSWAGEN,C051AA,Benzine,20221214.0
BMW,,Benzine,20210921.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0O,Benzine,20210615.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FLC,Benzine,20250515.0
MERCEDES-BENZ,ZZAA050B,Benzine,20230322.0
BMW,0AW5000S,Benzine,20230407.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0,Benzine,20230127.0
AUDI,HE1HE1G1Z01RT021A200GAAEM1M,Benzine,20220512.0
BMW,0AC50000,Benzine,20230429.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,Benzine,20211103.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1,Benzine,20230227.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1,Benzine,20230323.0
BMW,0AW5000S,Benzine,20211217.0
BMW,0AW5000S,Benzine,20211228.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1,Benzine,20230320.0
AUDI,QE1QE1G1Z01RT31B210GAAEM1,Benzine,20211229.0
AUDI,QE2QE2G1X01RT011B200GAAEM0FS,Benzine,20211230.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,Benzine,20211231.0
AUDI,QE1QE1G1Z03RT011A200GAAEM0M,Benzine,20211124.0
VOLKSWAGEN,C0O51AA,Benzine,20210923.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,Benzine,20211029.0
OPEL,ZKXZ-40B000,Benzine,20210930.0
VOLKSWAGEN,OPE1MH00201ASA,Benzine,20230429.0
BMW I,0AW40000,Elektrisch,20190628.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1O,Benzine,20211203.0
VOLKSWAGEN,DPE1MH0020O1ASA,Diesel,20210922.0
MERCEDES-BENZ,ZZAM070B,Benzine,20250523.0
AUDI,HE1HE1G1Z01RT021A200GAAEM1M,Benzine,20211008.0
VOLKSWAGEN,C051AA,Benzine,20230506.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0M,Benzine,20211112.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0M,Benzine,20210908.0
VOLKSWAGEN,DPE1MH0020M1ASA,Diesel,20211222.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1,Benzine,20230403.0
AUDI,HE1HE1G1Z02RT051B200GAAEM0FLC,Benzine,20250519.0
BMW,0AC50700,Benzine,20230301.0
AUDI,HE1HE1G1Z02RT011A200GAAEM0FSC,Benzine,20250522.0
BMW,0AW50000,Benzine,20220103.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20250523.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,Benzine,20250526.0
AUDI,QE2QE2G1X01RT021B200GAAEM0FL,Benzine,20230127.0
OPEL,ZKXZ-X0C000,Benzine,20211230.0
OPEL,ZKXZ-X0A000,Benzine,20200820.0
MERCEDES-BENZ,ZZAL050C,Benzine,20220104.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML02VR0N0,Benzine,20190618.0
VOLKSWAGEN,OPE1MH0020M1ASA,Benzine,20211202.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1,Benzine,20230125.0
AUDI,HE1HE1G1Z01RT021A200GAAEM1O,Benzine,20211227.0
VOLKSWAGEN,OPE1MH00201ASA,Benzine,20230428.0
BMW,0AW50000,Benzine,20211130.0
AUDI,QE1QE1G1Z03RT011A210GAAEM0O,Benzine,20210618.0
BMW,0AW5000S,Benzine,20210426.0
AUDI,HE1HE1G1Z01RT021A200GAAEM1O,Benzine,20211229.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1,Benzine,20230217.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0M,Benzine,20211015.0
VOLKSWAGEN,A0O51AA,Benzine,20211213.0
MERCEDES-BENZ,ZZAAA50A,Benzine,20220720.0
