Merk,Uitvoering,Datum eerste toelating
OPEL,ZKWZ-G0V001,20250514.0
OPEL,ZKWZ-G0V001,20250514.0
BMW,0AW5000S,20211111.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191231.0
AUDI,QE1QE1G1Z01RT11B200GAAEM0,20191228.0
VOLKSWAGEN,BPE1MH00200A,20250905.0
AUDI,HE1HE1G1Z01RT021A210GAAEM1M,20211230.0
VOLKSWAGEN,OPE1MP001SA,20250516.0
BMW,0AL5A000,20250524.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML01VR0N,20180223.0
AUDI,HE1HE1G1Z01RT021A200GAAEM1M,20211222.0
BMW,0AW50000,20211115.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250519.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250521.0
VOLKSWAGEN,APE1MP001NA,20250905.0
MERCEDES-BENZ,ZZAA051A,20250515.0
OPEL,ZYAZ-E0D000,20250516.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0M,20211119.0
PORSCHE,2500000,20250516.0
PORSCHE,2500000,20250515.0
AUDI,HE1HE1G1Z02RT011A200GAAEM0FSC,20250515.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250905.0
BMW,0AB50000,20250516.0
BMW,0AB50000,20250514.0
VOLKSWAGEN,C0O51AA,20200909.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1M,20211223.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1BVR0NA,20200514.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250515.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0M,20211216.0
OPEL,A1EA5AA1,20200131.0
PORSCHE,1151000,20220908.0
VOLKSWAGEN,D0M51AA,20211119.0
BMW,0AW5000S,20211227.0
AUDI,HE1HE1G1Z01RT011A200GAAEM0O,20211126.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1M,20211231.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0O,20211028.0
BMW,0AW50000,20211214.0
VOLKSWAGEN,C0O51AA,20211228.0
AUDI,QE1QE1G1Z01RT11B200GAAEM1,20211228.0
VOLKSWAGEN,BPE1MH00200A,20250905.0
VOLKSWAGEN,PPE1MP001NA,20250905.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1M,20211228.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0M,20210930.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1O,20211228.0
VOLKSWAGEN,B0M1ANA,20211230.0
VOLKSWAGEN,OPE1MH0020O1ALA,20211217.0
BMW,0AB50800,20250905.0
BMW,0AB50800,20250516.0
BMW,0AB50800,20250516.0
BMW,0AC50800,20250516.0
BMW,0AB50000,20250108.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FLS,20250516.0
VOLKSWAGEN,FA1FA1MD001E0GAON1ML1AVR0NA,20200226.0
AUDI,HE1HE1G1Z01RT011A190GAAEM1O,20211228.0
BMW,0AA5A000,20250516.0
PORSCHE,2500000,20250516.0
BMW,0AC50000,20240325.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250516.0
MERCEDES-BENZ,ZZAA050A,20211119.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1O,20211213.0
VOLKSWAGEN,OPE1MP001SA,20250515.0
BMW,0AA50000,20250516.0
VOLKSWAGEN,RPE1MH002P0A,20250515.0
VOLKSWAGEN,DPE1MH002P0A,20250516.0
VOLKSWAGEN,QPE1MH002P0A,20250904.0
VOLKSWAGEN,DPE1MH0020O1ASA,20211007.0
VOLKSWAGEN,OPE1MH0020O1ALA,20211224.0
BMW,0AW5000S,20211231.0
AUDI,HE1HE1G1Z02RT051B200GAAEM0FSC,20250516.0
AUDI,QE1QE1G1Z08RT011A200GAAEM0,20250516.0
MERCEDES-BENZ,ZZAA050A,20201207.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0O,20211105.0
VOLKSWAGEN,BPE1MH00200A,20250905.0
OPEL,ZKWZ-G0V001,20250515.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,20211018.0
OPEL,ZYAZ-E0D000,20250515.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1M,20211223.0
MERCEDES-BENZ,2EDE0XX7XXXX,20220824.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250516.0
AUDI,HE1HE1G1Z01RT011A190GAAEM0O,20211013.0
BMW,0AW5000S,20230323.0
BMW,0AC50000,20230322.0
AUDI,HE1HE1G1Z01RT011A200GAAEM1,20230414.0
AUDI,HE1HE1G1Z01RT021A200GAAEM1M,20211027.0
VOLKSWAGEN,OPE1MH00201ASA,20230522.0
MERCEDES-BENZ,2EDE0XX8XXXX,20231011.0
BMW I,0AW40000,20211012.0
VOLKSWAGEN,C0O51AA,20211112.0
VOLKSWAGEN,OPE1MH0020O1ALA,20211228.0
BMW,0AW5000S,20211108.0
BMW,0AB50000,20250516.0
VOLKSWAGEN,D0M41AA,20210902.0
MERCEDES-BENZ,ZZAAA51A,20250515.0
OPEL,ZKXZ-40B000,20210924.0
AUDI,QE1QE1G1Z08RT011A190GAAEM0,20250519.0
BMW,0AA5A000,20250516.0
MERCEDES-BENZ,,20221118.0
VOLKSWAGEN,D0M51AA,20211111.0
MERCEDES-BENZ,ZZAM070C,20250516.0
MERCEDES-BENZ,ZZAAA52A,20250513.0
OPEL,ZYAZ-E0D000,20250519.0
MERCEDES-BENZ,ZZAAA50A,20250516.0
OPEL,ZYAZ-E0D000,20250516.0
MERCEDES-BENZ,ZZAA050A,20250516.0
AUDI,HE1HE1G1Z01RT021A190GAAEM1O,20211230.0
OPEL,ZKWZ-G0V001,20250328.0
BMW,0AB50000,20250515.0
BMW,0AA50000,20250516.0
VOLKSWAGEN,PPE1MP001NA,20250516.0
VOLKSWAGEN,C051AA,20221214.0
BMW,,20210921.0
BMW,0AA5A000,20250515.0
AUDI,HE1HE1G1Z01RT011A210GAAEM0O,20210615.0
AUDI,HE1HE1G1Z02RT011A190GAAEM0FLC,20250515.0
